,Set20,Daalman,GO:0007163,GO:polarity,String full Cdc42,String physical Cdc42,String full Cdc42 Bem1 Cdc24,String physical Cdc42 Bem1 Cdc24
Cln3,0,1,0,0,0,0,0,0
Cul3,0,0,0,0,1,1,1,1
Dck1,0,0,0,0,1,1,1,1
Die2,0,0,0,0,1,0,1,0
Dma1,0,0,1,1,0,0,0,0
Dma2,0,0,1,1,0,0,0,0
Dnf1,0,0,1,1,0,0,0,0
Dnf2,0,0,1,1,0,0,0,0
Dyn1,0,0,1,1,0,0,0,0
Dyn2,0,0,1,1,0,0,0,0
Dyn3,0,0,1,1,0,0,0,0
Ecm25,0,0,0,0,1,1,1,1
Ede1,0,0,0,0,1,1,1,1
Elp2,0,0,0,0,1,0,1,0
Elp3,0,0,0,0,1,0,1,0
Elp4,0,0,0,0,1,0,1,0
Elp6,0,0,0,0,1,0,1,0
Enr1,0,1,0,0,0,0,0,0
Ent1,0,1,0,0,0,0,0,0
Ent2,0,1,0,0,0,0,1,1
Erv14,0,0,1,1,0,0,0,0
Ess1,0,0,0,0,0,0,1,1
Exo70,0,0,0,0,1,1,1,1
Far1,0,1,0,0,1,1,1,1
Fus2,0,0,0,0,1,1,1,1
Fus3,0,1,0,0,0,0,0,0
Fzf1,0,0,0,0,1,0,1,0
Gas1,0,0,0,0,1,0,1,0
Gic1,0,0,1,1,1,1,1,1
Gic2,0,0,1,1,1,1,1,1
Gin4,0,0,0,0,1,0,1,0
Glc7,0,0,1,1,0,0,0,0
Gpa2,0,0,0,0,1,0,1,0
Gvp36,0,0,1,1,0,0,0,0
Hes1,0,0,1,1,0,0,0,0
Hkr1,0,0,1,1,1,0,1,0
Hsc82,0,0,0,0,1,0,1,0
Hse1,0,0,0,0,1,1,1,1
Hsl7,0,0,0,0,0,0,1,0
Hsp82,0,0,0,0,1,0,1,0
Hur1,0,0,0,0,1,0,1,0
Inp54,0,0,0,0,1,0,1,0
Iqg1,0,0,0,0,1,1,1,1
Jnm1,0,0,1,1,0,0,0,0
Kel1,0,0,0,1,0,0,0,0
Kel2,0,0,0,1,0,0,0,0
Kes1,0,0,1,1,1,1,1,1
Kin1,0,0,0,0,1,0,1,0
Kip3,0,0,1,1,0,0,0,0
Las17,0,0,0,0,1,0,1,1
Ldb18,0,0,1,1,0,0,0,0
Lsb1,0,0,0,0,1,1,1,1
Lst8,0,0,1,1,0,0,0,0
Lte1,0,0,0,0,1,0,1,0
Mbp1,0,1,0,0,0,0,0,0
Mig2,0,0,0,0,1,0,1,0
Mig3,0,0,0,0,1,0,1,0
Mlc1,0,0,0,0,1,0,1,0
Mlc2,0,0,0,0,1,0,1,0
Mlf3,0,0,1,1,0,0,0,0
Mob2,0,0,1,1,0,0,0,0
Mpe1,0,0,0,0,1,1,1,1
Mps1,0,0,0,0,0,0,1,1
Msb1,0,0,1,1,1,1,1,1
Msb2,0,0,1,1,1,1,1,1
Msb3,0,0,1,1,1,1,1,1
Msb4,0,0,1,1,1,1,1,1
Mub1,0,0,1,1,0,0,0,0
Myo1,0,0,0,0,1,0,1,0
Myo2,0,0,1,1,1,0,1,0
Myo3,0,0,1,1,0,0,0,0
Myo5,0,0,1,1,0,0,0,0
Nab3,0,0,0,0,1,1,1,1
Nba1,0,0,1,1,0,0,1,1
Nip100,0,0,1,1,0,0,0,0
Nis1,0,0,1,1,0,0,0,0
Nop13,0,0,0,0,0,0,1,1
Nrd1,0,0,0,0,1,1,1,1
Nrp1,1,1,0,0,0,0,0,0
Osh2,0,0,1,1,0,0,0,0
Osh3,0,0,1,1,0,0,0,0
Osh6,0,0,1,1,0,0,0,0
Osh7,0,0,1,1,0,0,0,0
Pac1,0,0,1,1,0,0,0,0
Pac11,0,0,1,1,0,0,0,0
Pan1,0,0,1,1,0,0,0,0
Pat1,0,0,0,0,1,0,1,0
Pci8,0,0,0,0,1,1,1,1
Pcl1,0,0,0,1,0,0,0,0
Pcl2,0,0,1,1,0,0,0,0
Pcl9,0,0,0,1,0,0,0,0
Pea2,0,0,1,1,1,0,1,0
Pef1,0,0,1,1,0,0,0,0
Pho85,0,0,1,1,0,0,0,0
Pin3,0,0,0,0,1,1,1,1
Pkc1,0,0,0,0,1,0,1,0
Pmr1,0,0,0,0,1,0,1,0
Pub1,0,1,0,0,0,0,0,0
Pwp2,0,0,1,1,0,0,0,0
Pxl1,0,0,1,1,0,0,0,0
Ram2,0,0,0,0,0,0,1,0
Ras1,0,0,0,0,0,0,1,0
Ras2,0,0,0,0,1,0,1,1
Rax1,1,1,1,1,0,0,0,0
Rax2,0,1,1,1,0,0,0,0
Rdi1,1,1,0,0,1,1,1,1
Rga1,0,1,1,1,1,1,1,1
Rga2,1,1,0,0,1,1,1,1
Rgd1,0,0,0,0,1,1,1,1
Rho1,1,1,0,0,0,0,1,0
Rho2,0,0,1,1,0,0,0,0
Rho3,0,0,1,1,1,0,1,0
Rho4,0,0,1,1,1,0,1,0
Rho5,0,0,1,1,1,1,1,1
Rom2,0,0,1,1,0,0,0,0
Rot1,0,0,1,1,0,0,0,0
Rpg1,0,0,0,0,0,0,1,0
Rsc2,0,0,0,0,0,0,1,1
Rsp5,0,0,0,0,1,1,1,1
Rsr1,0,1,1,1,1,1,1,1
Rtt10,0,0,0,0,1,1,1,1
Rvs161,0,0,0,0,0,0,1,0
Sac7,0,0,0,0,1,0,1,0
Sec10,0,0,0,0,1,0,1,0
Sec15,0,0,0,0,1,0,1,1
Sec2,0,0,0,0,1,0,1,0
Sec3,0,0,0,0,1,1,1,1
Sec4,0,0,0,0,1,1,1,1
Sec5,0,0,0,0,1,0,1,1
Sec66,0,0,0,0,1,0,1,0
Sec8,0,0,0,0,1,0,1,1
Sec9,0,0,0,0,1,1,1,1
Sfh5,0,0,0,1,0,0,0,0
Sho1,0,0,1,1,1,1,1,1
Sis1,0,0,0,0,0,0,1,1
Skm1,0,0,0,0,1,1,1,1
Slg1,0,0,1,1,0,0,0,0
Slm1,0,0,1,1,0,0,0,0
Slm2,0,0,1,1,0,0,0,0
Slt2,0,0,0,0,1,0,1,0
Smi1,0,0,0,0,0,0,1,0
Smk1,0,0,0,0,1,0,1,0
Smy1,0,0,0,0,0,0,1,0
Snf1,0,0,1,1,0,0,0,0
Spa2,1,1,1,1,1,0,1,1
Sph1,0,0,1,1,0,0,0,0
Spo20,0,0,0,0,1,1,1,1
Sro7,0,0,1,1,1,0,1,0
Sro77,0,0,1,0,0,0,0,0
Ssd1,0,0,0,0,1,0,1,0
Ste11,0,1,0,0,0,0,0,0
Ste18,0,1,0,0,0,0,1,1
Ste2,0,1,0,0,0,0,0,0
Ste20,0,1,1,1,1,1,1,1
Ste3,0,1,0,0,0,0,0,0
Ste4,0,1,0,0,0,0,1,1
Ste5,1,1,0,0,0,0,1,1
Ste50,0,0,0,1,1,1,1,1
Ste7,0,1,0,0,0,0,0,0
Stu2,0,0,1,1,0,0,0,0
Sub2,0,0,0,0,1,1,1,1
Sum1,0,0,0,0,1,0,1,0
Sur7,0,0,0,0,0,0,1,0
Swe1,0,0,0,0,0,0,1,1
Swf1,0,0,1,1,1,0,1,0
Swh1,0,0,1,1,1,0,1,0
Swi4,0,1,0,0,1,0,1,0
Swi6,0,1,0,0,0,0,0,0
Thp1,0,0,1,1,0,0,0,0
Thp3,0,0,0,0,0,0,1,0
Tor2,0,0,1,1,0,0,0,0
Tos2,0,0,0,0,0,0,1,1
Tpm1,0,0,0,0,1,1,1,1
Tpm2,0,0,0,1,1,1,1,1
Tsc11,0,0,1,1,0,0,0,0
Tub1,0,0,0,0,1,0,1,0
Tub2,0,0,0,0,1,0,1,0
Tub3,0,0,0,0,1,0,1,0
Twf1,0,0,0,0,1,1,1,1
Uba4,0,0,0,0,1,0,1,0
Vhs2,0,0,1,1,0,0,0,0
Vps70,0,0,0,0,1,1,1,1
Vrp1,0,0,1,1,0,0,0,0
Whi3,0,1,0,0,0,0,0,0
Whi5,0,1,0,0,0,0,0,0
Ydj1,0,1,0,0,0,0,0,0
Yel043w,0,0,0,0,0,0,1,1
Yhr182w,0,0,0,1,0,0,0,0
Yor300w,0,0,1,1,0,0,0,0
Ypt7,0,0,0,0,1,1,1,1
Zds1,0,0,1,1,0,0,0,0
Zds2,0,0,1,1,0,0,0,0
